Coche,Link,Precio,Año,Kms,Combustible,Potencia,Puertas,Cambio,Localizacion
"RENAULT - SPORT TOURER MEGANE,  1, 2 TCE",www.milanuncios.com/renault-de-segunda-mano/renault-sport-tourer-megane-1-2-tce-297965161.htm,6.500€,año 2013,115.000 kms,gasolina,115 cv,5 puertas,manual,baleares
VOLKSWAGEN - POLO EDITION 1. 4 TDI 55KW75CV BMT,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-polo-edition-1-4-tdi-55kw75cv-bmt-287267267.htm,9.500€,año 2016,30.711 kms,diesel,75 cv,5 puertas,manual,tarragona
AUDI - A1 SPORTBACK 1. 6 TDI 90CV ATTRACTED,www.milanuncios.com/audi-de-segunda-mano/audi-a1-sportback-1-6-tdi-90cv-attracted-274834236.htm,12.900€,año 2013,47.446 kms,diesel,90 cv,5 puertas,manual,tarragona
BMW - SERIE 1 116I,www.milanuncios.com/bmw-de-segunda-mano/bmw-serie-1-116i-280352763.htm,13.490€,año 2014,114.000 kms,gasolina,136 cv,3 puertas,manual,madrid
SEAT - LEON ST 1. 6 TDI 105CV STSP STYLE,www.milanuncios.com/seat-de-segunda-mano/seat-leon-st-1-6-tdi-105cv-stsp-style-276458311.htm,9.900€,año 2014,129.073 kms,diesel,105 cv,5 puertas,manual,tarragona
VOLKSWAGEN - GOLF 1. 6 TDI 105CV DPF SPORT,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-golf-1-6-tdi-105cv-dpf-sport-295343209.htm,9.500€,año 2011,99.271 kms,diesel,105 cv,3 puertas,manual,tarragona
FORD - FOCUS 1. 6 TDCI 115CV TREND,www.milanuncios.com/ford-de-segunda-mano/ford-focus-1-6-tdci-115cv-trend-284168422.htm,10.900€,año 2015,70.102 kms,diesel,115 cv,5 puertas,manual,tarragona
JEEP - GRAND CHEROKEE 3. 0 V6 CRD LAREDO,www.milanuncios.com/jeep-de-segunda-mano/jeep-grand-cherokee-3-0-v6-crd-laredo-260478943.htm,13.500€,año 2010,119.036 kms,diesel,218 cv,5 puertas,automat,tarragona
FORD - ECOSPORT 1. 5 TDCI 70KW 95CV TITANIUM S,www.milanuncios.com/ford-de-segunda-mano/ford-ecosport-1-5-tdci-70kw-95cv-titanium-s-294370329.htm,14.900€,año 2017,24.351 kms,diesel,95 cv,5 puertas,manual,tarragona
PEUGEOT - 208 5P ACTIVE 1. 4 HDI 68,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-208-5p-active-1-4-hdi-68-268737504.htm,7.900€,año 2014,67.443 kms,diesel,68 cv,5 puertas,manual,tarragona
BMW - SERIE 1 116D EFFICIENTDYNAMICS,www.milanuncios.com/bmw-de-segunda-mano/bmw-serie-1-116d-efficientdynamics-248786833.htm,14.900€,año 2014,71.464 kms,diesel,116 cv,3 puertas,manual,tarragona
DACIA - DUSTER AMBIANCE DCI 110 4X2 EU6,www.milanuncios.com/dacia-de-segunda-mano/dacia-duster-ambiance-dci-110-4x2-eu6-283950764.htm,10.900€,año 2015,65.941 kms,diesel,109 cv,5 puertas,manual,tarragona
VOLKSWAGEN - POLO 1. 4 ADVANCE,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-polo-1-4-advance-299052759.htm,4.999€,año 2012,140.000 kms,gasolina,85 cv,5 puertas,manual,tenerife
FORD - RANGER 2. 2 TDCI 150CV 4X4 DOBLE CABINA XL,www.milanuncios.com/ford-de-segunda-mano/ford-ranger-2-2-tdci-150cv-4x4-doble-cabina-xl-299215589.htm,14.793€,año 2014,69.000 kms,diesel,150 cv,4 puertas,manual,la_coruna
MERCEDES-BENZ - CLASE B B 180 CDI AUT. ,www.milanuncios.com/mercedes-benz-de-segunda-mano/mercedes-benz-clase-b-b-180-cdi-aut-298286439.htm,13.900€,año 2013,89.000 kms,diesel,109 cv,5 puertas,automat,la_coruna
VOLKSWAGEN - POLO 1. 6 TDI 90CV DSG ADVANCE,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-polo-1-6-tdi-90cv-dsg-advance-298044868.htm,10.900€,año 2013,119.000 kms,diesel,90 cv,5 puertas,automat,la_coruna
AUDI - A3 SPORTBACK 1. 6 TDI 110CV CLEAN ATTRACTION,www.milanuncios.com/audi-de-segunda-mano/audi-a3-sportback-1-6-tdi-110cv-clean-attraction-299843771.htm,13.900€,año 2015,139.000 kms,diesel,110 cv,5 puertas,manual,la_coruna
AUDI - Q3 2. 0 TDI 140CV AMBIENTE,www.milanuncios.com/audi-de-segunda-mano/audi-q3-2-0-tdi-140cv-ambiente-299826780.htm,13.900€,año 2013,209.000 kms,diesel,140 cv,5 puertas,manual,la_coruna
PEUGEOT - 308 5P ACCESS 1. 6 HDI 92 FAP,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-308-5p-access-1-6-hdi-92-fap-299646153.htm,5.900€,año 2011,139.000 kms,diesel,92 cv,5 puertas,manual,la_coruna
CITROEN - C4 C4 BLUEHDI 120 6V FEEL EDITION,www.milanuncios.com/citroen-de-segunda-mano/citroen-c4-c4-bluehdi-120-6v-feel-edition-298697165.htm,8.900€,año 2016,140.000 kms,diesel,120 cv,5 puertas,manual,la_coruna
